Group ID,Light Treatment  Population white eyed Female,Light Treatment  Population wild type Female,Light Treatment  Population white eyed Male,Light Treatment  Population wild type Male,Light Treatment Frequency for white eyed Allele,Dark Treatment  Population white eyed Female,Dark Treatment  Population wild type Female,Dark Treatment  Population white eyed Male,Dark Treatment  Population wild type Male,Dark Treatment Frequency for white eyed Allele,Reporting year,Chron Order
238,0,20,0,20,0,0,20,0,20,0,S21,
254,0,20,0,20,0,0,21,0,19,0,S21,
256,0,20,0,20,0,0,20,0,20,0,S21,
248,0,20,0,20,0,0,20,0,20,0,S21,
240,0,20,0,20,0,0,20,0,20,0,S21,
262,0,23,0,17,0,0,20,0,20,0,S21,
266,0,25,0,15,0,0,24,0,16,0,S21,
270,0,20,0,20,0,0,20,0,20,0,S21,
264,0,19,0,21,0,0,20,0,20,0,S21,
272,0,22,0,18,0,0,18,0,22,0,S21,
274,0,18,0,22,0,0,17,0,23,0,S21,
280,0,20,0,20,0,0,20,0,20,0,S21,
278,0,20,0,20,0,0,20,0,20,0,S21,
288,0,21,0,19,0,0,20,0,20,0,S21,
286,0,20,0,20,0,0,20,0,20,0,S21,
282,0,19,0,21,0,0,20,0,20,0,S21,
284,0,20,0,20,0,0,20,0,20,0,S21,
302,0,21,0,19,0,0,22,0,18,0,S21,
292,0,20,0,20,0,0,20,0,20,0,S21,
298,0,18,0,22,0,0,19,0,21,0,S21,
300,0,21,0,19,0,0,18,0,22,0,S21,
296,0,21,0,19,0,0,20,0,20,0,S21,
294,0,20,0,20,0,1,19,0,20,0,S21,
314,0,20,0,20,0,0,22,0,18,0,S21,
310,0,17,0,23,0,0,20,0,20,0,S21,
308,0,20,0,20,0,0,20,0,20,0,S21,
306,0,20,0,20,0,0,20,0,20,0,S21,
316,0,20,0,20,0,0,20,0,20,0,S21,
312,0,20,0,20,0,0,22,0,18,0,S21,
338,0,24,0,16,0,0,13,0,27,0,S21,
336,0,17,0,23,0,0,19,0,21,0,S21,
344,0,22,0,18,0,0,17,0,23,0,S21,
324,25,0,15,0,1,23,0,17,0,1,S21,
330,0,20,0,20,0,0,20,0,20,0,S21,
346,0,16,0,24,0,0,16,0,24,0,S21,
326,0,15,0,25,0,0,21,0,19,0,S21,
322,0,19,0,21,0,0,19,0,21,0,S21,
340,0,14,0,26,0,0,20,0,20,0,S21,
328,0,21,0,19,0,0,25,0,15,0,S21,
320,0,18,0,22,0,0,20,0,20,0,S21,
230,0,21,0,19,0,0,22,0,18,0,S21,
358,0,21,0,19,0,0,18,0,22,0,S21,
352,0,19,0,21,0,0,19,0,21,0,S21,
386,0,20,0,20,0,0,20,0,20,0,S21,
348,0,16,0,24,0,0,20,0,20,0,S21,
360,20,0,20,0,1,20,0,20,0,1,S21,
350,0,21,0,19,0,0,18,0,22,0,S21,
364,0,20,0,20,0,0,20,0,20,0,S21,
384,0,18,0,22,0,0,19,0,21,0,S21,
368,0,19,0,21,0,0,19,0,21,0,S21,
374,0,19,0,21,0,0,19,0,21,0,S21,
372,0,20,0,20,0,0,20,0,20,0,S21,
362,0,19,0,21,0,0,15,0,25,0,S21,
382,0,20,0,20,0,0,20,0,20,0,S21,
366,0,18,0,22,0,0,21,0,19,0,S21,
378,0,20,0,20,0,0,20,0,20,0,S21,
370,0,22,0,18,0,0,23,0,17,0,S21,
380,0,20,0,20,0,0,20,0,20,0,S21,
376,0,20,0,20,0,0,20,0,20,0,S21,
356,0,21,0,19,0,0,20,0,20,0,S21,
268,0,19,0,21,0,0,19,0,21,0,S21,
354,0,20,0,20,0,0,20,0,20,0,S21,
388,1,22,0,17,0,0,23,0,17,0,S21,
420,0,19,0,21,0,0,18,0,22,0,S21,
404,0,20,0,20,0,0,20,0,20,0,S21,
418,0,20,0,20,0,0,20,0,20,0,S21,
406,0,20,0,20,0,0,20,0,20,0,S21,
422,0,20,0,20,0,0,20,0,20,0,S21,
412,0,20,0,20,0,0,20,0,20,0,S21,
416,0,20,0,20,0,0,18,0,21,0,S21,
430,0,21,0,19,0,0,20,0,20,0,S21,
392,4,11,6,19,0.24,0,16,0,24,0,S21,
414,0,20,0,20,0,0,20,0,20,0,S21,
424,0,20,0,20,0,0,20,0,20,0,S21,
426,0,20,0,20,0,0,20,0,20,0,S21,
410,0,20,0,20,0,0,20,0,20,0,S21,
396,0,22,0,10,0,0,21,0,19,0,S21,
428,0,20,0,20,0,0,20,0,20,0,S21,
408,0,20,0,20,0,0,25,0,15,0,S21,
398,0,20,0,20,0,0,20,0,20,0,S21,
394,0,20,0,20,0,0,20,0,20,0,S21,
390,0,24,0,16,0,0,22,0,18,0,S21,
400,20,1,20,1,0.952,20,0,20,0,1,S21,
434,0,18,0,22,0,0,18,0,22,0,S21,
436,0,20,0,20,0,0,20,0,20,0,S21,
432,0,16,0,24,0,0,22,0,18,0,S21,
438,0,20,0,20,0,0,18,0,22,0,S21,
442,0,20,0,20,0,0,20,0,20,0,S21,
444,0,29,0,11,0,0,28,0,12,0,S21,
466,0,14,0,26,0,0,21,0,19,0,S21,
464,0,18,0,22,0,0,19,0,21,0,S21,
460,0,16,3,21,0.125,0,19,0,21,0,S21,
468,0,20,0,20,0,0,20,0,20,0,S21,
470,0,15,0,25,0,0,20,0,20,0,S21,
462,0,18,0,22,0,0,22,0,18,0,S21,
86,0,14,0,26,0,0,24,0,16,0,S21,
440,0,20,0,20,0,0,20,0,20,0,S21,
452,0,20,0,20,0,0,20,0,20,0,S21,
450,0,20,0,20,0,0,20,0,20,0,S21,
448,0,20,0,20,0,0,20,0,20,0,S21,
454,0,20,0,20,0,0,20,0,20,0,S21,
446,0,21,0,19,0,0,24,0,16,0,S21,
456,0,11,0,29,0,0,19,0,21,0,S21,
474,0,20,0,20,0,0,20,0,20,0,S21,
484,0,14,0,26,0,0,20,0,20,0,S21,
478,0,17,0,23,0,0,16,0,24,0,S21,
486,0,19,0,21,0,0,21,0,19,0,S21,
482,0,20,0,20,0,0,21,0,19,0,S21,
476,1,12,0,27,0,0,17,0,23,0,S21,
480,0,23,0,17,0,0,13,0,17,0,S21,
510,0,18,0,22,0,0,21,0,19,0,S21,
506,0,17,0,23,0,0,18,0,22,0,S21,
502,0,22,0,18,0,0,28,0,12,0,S21,
514,0,17,0,23,0,0,21,0,19,0,S21,
508,0,17,0,23,0,1,17,0,22,0,S21,
504,0,15,0,25,0,0,19,0,21,0,S21,
498,0,20,0,20,0,0,20,0,20,0,S21,
512,0,25,0,15,0,0,20,0,20,0,S21,
490,0,20,0,20,0,0,20,0,20,0,S21,
494,0,20,0,20,0,0,20,0,20,0,S21,
